sector,expectedTerritory,status,addressCount,detail
AB51 4,Aberdeen,PASS,161,""
AB11 7,Aberdeen,PASS,58,""
AB13 0,Aberdeen,PASS,101,""
AB15 5,Aberdeen,PASS,107,""
AB51 3,Aberdeen,PASS,154,""
AB15 9,Aberdeen,PASS,237,""
AB35 5,Aberdeen,PASS,165,""
AB10 7,Aberdeen,PASS,223,""
AB24 1,Aberdeen,PASS,94,""
AB25 3,Aberdeen,PASS,149,""
AB10 1,Aberdeen,PASS,191,""
AB15 6,Aberdeen,PASS,186,""
AB51 6,Aberdeen,PASS,49,""
AB15 7,Aberdeen,PASS,150,""
AB25 1,Aberdeen,PASS,146,""
AB11 6,Aberdeen,PASS,210,""
AB23 8,Aberdeen,PASS,340,""
AB34 4,Aberdeen,PASS,71,""
AB11 5,Aberdeen,PASS,130,""
AB24 5,Aberdeen,PASS,199,""
AB24 3,Aberdeen,PASS,183,""
AB15 4,Aberdeen,PASS,126,""
AB16 6,Aberdeen,PASS,202,""
AB22 8,Aberdeen,PASS,298,""
AB24 4,Aberdeen,PASS,170,""
AB24 2,Aberdeen,PASS,171,""
AB16 7,Aberdeen,PASS,238,""
AB16 5,Aberdeen,PASS,249,""
AB21 9,Aberdeen,PASS,332,""
AB14 0,Aberdeen,PASS,143,""
AB10 6,Aberdeen,PASS,243,""
AB31 5,Aberdeen,PASS,286,""
AB31 4,Aberdeen,PASS,258,""
AB32 7,Aberdeen,PASS,53,""
AB21 7,Aberdeen,PASS,178,""
AB25 2,Aberdeen,PASS,177,""
AB15 8,Aberdeen,PASS,305,""
AB21 0,Aberdeen,PASS,312,""
AB32 6,Aberdeen,PASS,314,""
AB51 0,Aberdeen,PASS,356,""
AB34 5,Aberdeen,PASS,203,""
EH21 7,East Lothian and Midlothian,PASS,241,""
EH22 5,East Lothian and Midlothian,PASS,228,""
EH22 4,East Lothian and Midlothian,PASS,257,""
EH32 9,East Lothian and Midlothian,PASS,277,""
EH43 6,East Lothian and Midlothian,PASS,27,""
EH40 3,East Lothian and Midlothian,PASS,68,""
EH44 6,East Lothian and Midlothian,PASS,107,""
EH33 1,East Lothian and Midlothian,PASS,185,""
EH34 5,East Lothian and Midlothian,PASS,88,""
EH24 9,East Lothian and Midlothian,PASS,79,""
EH20 9,East Lothian and Midlothian,PASS,234,""
EH39 4,East Lothian and Midlothian,PASS,221,""
EH25 9,East Lothian and Midlothian,PASS,144,""
EH26 0,East Lothian and Midlothian,PASS,253,""
EH41 3,East Lothian and Midlothian,PASS,247,""
EH32 0,East Lothian and Midlothian,FAIL,282,"Centroid falls outside ALL territory polygons (likely clipped by coverage mask)"
EH35 5,East Lothian and Midlothian,PASS,73,""
EH21 6,East Lothian and Midlothian,PASS,240,""
EH22 3,East Lothian and Midlothian,PASS,150,""
EH31 2,East Lothian and Midlothian,PASS,103,""
EH21 8,East Lothian and Midlothian,PASS,288,""
EH45 9,East Lothian and Midlothian,PASS,140,""
EH39 5,East Lothian and Midlothian,PASS,191,""
EH23 4,East Lothian and Midlothian,PASS,302,""
EH42 1,East Lothian and Midlothian,PASS,363,""
EH19 3,East Lothian and Midlothian,PASS,279,""
EH38 5,East Lothian and Midlothian,PASS,11,""
EH22 1,East Lothian and Midlothian,PASS,237,""
EH19 2,East Lothian and Midlothian,PASS,149,""
EH22 2,East Lothian and Midlothian,PASS,229,""
EH26 9,East Lothian and Midlothian,PASS,125,""
EH26 8,East Lothian and Midlothian,PASS,186,""
EH36 5,East Lothian and Midlothian,PASS,11,""
EH18 1,East Lothian and Midlothian,PASS,106,""
EH33 2,East Lothian and Midlothian,PASS,215,""
EH37 5,East Lothian and Midlothian,PASS,95,""
EH45 8,East Lothian and Midlothian,PASS,212,""
EH41 4,East Lothian and Midlothian,PASS,202,""
EH46 7,East Lothian and Midlothian,PASS,110,""
